Year,Lake,Rainbow Smelt,Suckers,Lake Trout,Walleye,Channel Catfish,Burbot,Carp,Yellow Perch
1914,Huron,NA,1501,4563,1008,NA,NA,28,1134
1914,Michigan,NA,3093,6837,225,2,0,0,2731
1914,Ontario,NA,16,662,5,NA,0,83,112
1914,Saint Clair,NA,0,NA,46,NA,NA,1028,284
1914,Superior,NA,259,3252,189,NA,NA,NA,NA
1915,Erie,NA,1123,NA,2443,405,46,10519,2975
1915,Huron,NA,2306,6641,1653,NA,NA,543,1560
1915,Michigan,NA,824,7704,216,0,0,9,2789
1915,Ontario,NA,23,586,5,NA,0,114,126
1915,Saint Clair,NA,0,NA,37,NA,NA,1214,113
1915,Superior,NA,240,4983,250,NA,NA,NA,NA
1916,Erie,NA,1321,NA,2630,794,247,6640,2407
1916,Huron,NA,4532,8527,2231,NA,NA,35,3760
1916,Michigan,NA,963,6000,275,0,0,1,2262
1916,Ontario,NA,17,554,5,NA,0,269,171
1916,Saint Clair,NA,0,NA,50,NA,NA,607,116
1916,Superior,NA,234,3700,117,NA,NA,NA,NA
1917,Erie,NA,1058,NA,1847,2051,31,6461,2253
1917,Huron,NA,2930,7919,2795,NA,NA,1162,1929
1917,Michigan,NA,4034,6903,195,0,167,246,2101
1917,Ontario,NA,13,493,5,NA,46,398,219
1917,Saint Clair,NA,0,NA,64,NA,NA,188,132
1917,Superior,NA,347,3794,95,NA,NA,NA,NA
1918,Erie,NA,911,NA,1004,287,355,4884,3144
1918,Huron,NA,3556,8966,4270,NA,NA,1300,1944
1918,Michigan,NA,663,5810,121,0,0,5,1928
1918,Ontario,NA,125,411,52,NA,39,148,158
1918,Saint Clair,NA,0,NA,42,NA,NA,225,148
1918,Superior,NA,176,4645,114,NA,NA,NA,NA
1919,Erie,NA,954,NA,744,563,438,3340,3872
1919,Huron,NA,5428,8051,3258,76,NA,2280,2758
1919,Michigan,NA,1097,6584,122,1,22,7,2490
1919,Ontario,NA,40,580,49,NA,94,172,162
1919,Saint Clair,NA,0,NA,61,NA,NA,294,140
1919,Superior,NA,203,4935,118,NA,NA,NA,NA
1920,Erie,NA,1062,NA,1055,557,416,4534,2531
1920,Huron,NA,3802,5386,2139,26,NA,3516,2244
1920,Michigan,NA,919,6983,117,1,60,5,2064
1920,Ontario,NA,17,490,46,NA,43,66,111
1920,Saint Clair,NA,0,NA,27,NA,NA,395,232
1920,Superior,NA,181,3123,101,NA,NA,NA,NA
1921,Erie,NA,1420,NA,1349,1199,442,6887,4157
1921,Huron,NA,3606,5929,1775,32,NA,1799,2033
1921,Michigan,NA,639,6749,141,2,7,4,2105
1921,Ontario,NA,20,584,96,NA,40,80,97
1921,Saint Clair,NA,0,NA,38,NA,NA,317,131
1921,Superior,NA,159,3300,146,NA,NA,NA,NA
1922,Erie,NA,991,NA,2770,553,262,4120,4036
1922,Huron,NA,3972,11266,3020,62,NA,2474,1642
1922,Michigan,NA,1536,7540,64,1,25,750,967
1922,Ontario,NA,20,756,152,NA,40,153,82
1922,Saint Clair,NA,0,NA,60,NA,NA,573,96
1922,Superior,NA,260,3660,122,NA,NA,NA,NA
1923,Erie,NA,1038,NA,1739,530,254,3500,4266
1923,Huron,NA,2890,10494,2592,34,NA,712,1804
1923,Michigan,NA,570,6176,99,1,7,7,873
1923,Ontario,NA,24,791,220,NA,40,364,92
1923,Saint Clair,NA,0,NA,76,NA,NA,305,57
1923,Superior,NA,110,3859,181,NA,NA,NA,NA
1924,Erie,NA,684,NA,1635,248,142,1549,4133
1924,Huron,NA,2144,10370,2060,78,NA,1056,1304
1924,Michigan,NA,624,7224,118,0,12,7,1083
1924,Ontario,NA,92,984,160,NA,40,99,87
1924,Saint Clair,NA,0,NA,58,NA,NA,375,101
1924,Superior,NA,135,4276,104,NA,NA,NA,NA
1925,Erie,NA,80,NA,1469,11,9,2542,4310
1925,Huron,NA,2748,10826,1914,166,NA,958,1208
1925,Michigan,NA,903,6523,93,1,39,12,1481
1925,Ontario,NA,40,1132,96,NA,84,30,97
1925,Saint Clair,NA,0,NA,45,NA,NA,170,65
